1-Gramm, Menge
M, 60
G, 50
I, 76
P, 82
A, 89
U, 104
S, 38
Q, 66
N, 203
K, 36
D, 58
F, 47
J, 27
Ü, 16
X, 43
T, 93
ß, 10
L, 34
E, 9
C, 17
Ä, 10
B, 8
Z, 26
O, 15
W, 1
R, 1
Ö, 6
H, 2
-------------------------------
Menge der 1-Gramme: 28
Menge aller 1-Gramme: 1227
